ids,labels,parents,values
Electropop1990,Electropop,pop1990,1
Dance-Pop1990,Dance-Pop,pop1990,1
Power Pop1990,Power Pop,pop1990,1
Baroque Pop1990,Baroque Pop,pop1990,1
Latin Pop1990,Latin Pop,pop1990,1
Psychedelic Pop1990,Psychedelic Pop,pop1990,1
Classic Pop1990,Classic Pop,pop1990,1
Pop1990,Pop,pop1990,1
Dream Pop1990,Dream Pop,pop1990,1
Futurepop1990,Futurepop,pop1990,1
Pop Punk1990,Pop Punk,pop1990,1
Country Pop1990,Country Pop,pop1990,1
Europop1990,Europop,pop1990,1
country1990,country,1990,5
Country1990,Country,country1990,1
Alternative Country1990,Alternative Country,country1990,1
Country Rock1990,Country Rock,country1990,1
Country Blues1990,Country Blues,country1990,1
Country Pop1990,Country Pop,country1990,1
blues1990,blues,1990,8
Chicago Blues1990,Chicago Blues,blues1990,1
Soul Blues1990,Soul Blues,blues1990,1
Country Blues1990,Country Blues,blues1990,1
Electric Blues1990,Electric Blues,blues1990,1
Piedmont Blues1990,Piedmont Blues,blues1990,1
Blues Rock1990,Blues Rock,blues1990,1
Delta Blues1990,Delta Blues,blues1990,1
Blues1990,Blues,blues1990,1
soul1990,soul,1990,3
Soul1990,Soul,soul1990,1
Blue-Eyed Soul1990,Blue-Eyed Soul,soul1990,1
Soul Blues1990,Soul Blues,soul1990,1
classical1990,classical,1990,2
Classical1990,Classical,classical1990,1
Indian Classical Music1990,Indian Classical Music,classical1990,1
techno1990,techno,1990,1
Techno1990,Techno,techno1990,1
jazz1990,jazz,1990,4
Jazz1990,Jazz,jazz1990,1
Trad Jazz1990,Trad Jazz,jazz1990,1
Jazz Fusion1990,Jazz Fusion,jazz1990,1
Vocal Jazz1990,Vocal Jazz,jazz1990,1
punk1990,punk,1990,10
Punk Rock1990,Punk Rock,punk1990,1
Post-Punk1990,Post-Punk,punk1990,1
Folk Punk1990,Folk Punk,punk1990,1
Hardcore Punk1990,Hardcore Punk,punk1990,1
Street Punk1990,Street Punk,punk1990,1
Deutschpunk1990,Deutschpunk,punk1990,1
Pop Punk1990,Pop Punk,punk1990,1
Horror Punk1990,Horror Punk,punk1990,1
Ska Punk1990,Ska Punk,punk1990,1
Electropunk1990,Electropunk,punk1990,1
funk1990,funk,1990,3
Funk Melody1990,Funk Melody,funk1990,1
